							Drilling Data									
							Noblige-1									



DEPTH	TVD	ROP_AVG	WOB_AVG	TORQUE_AVG	TORQUE_MIN	TORQUE_MAX	BIT_RPM	FLOWIN	FLOWOUT	PUMP_AVG	MWIN	MWOUT	MTIN	MTOUT	PITTOT	TBR
mMDRT	mTVDRT	m/hr	klbs	kft.lb	kft.lb	kft.lb	rpm	gal/min	gal/min	psi	sg	sg	degC	degC	bbls	

1535	1534.98	61.6	7.7	1.5	1.3	2.4	237	1167	0	1915	1.03	1.03	26.8	28.7	-999.25	39359
1536	1535.98	70	9.5	1.6	1.4	2.5	236	1159	0	2070	1.03	1.03	26.9	28.7	-999.25	39571
1537	1536.98	76.4	11.9	1.5	1.4	2.6	236	1156	0	2114	1.03	1.03	26.8	28.7	-999.25	39767
1538	1537.98	59.2	7.7	1.5	1.4	2.6	235	1155	0	2117	1.03	1.03	26.9	28.7	-999.25	40026
1539	1538.98	44.6	7.5	1.4	0.9	2.5	235	1153	0	2129	1.03	1.03	26.9	28.7	-999.25	40355
1540	1539.98	187.3	8	2.6	1.7	4.2	232	1151	0	2209	1.03	1.03	26.9	28.7	-999.25	40496
1541	1540.98	192.6	6.8	1.9	0.6	3.3	232	1145	0	2144	1.03	1.03	26.8	28.7	-999.25	40596
1542	1541.98	382	19.1	2	1.4	3.4	232	1139	0	2193	1.03	1.03	26.8	28.7	-999.25	40627
1543	1542.98	72.3	7.1	1.4	1.2	2.5	235	1148	0	2146	1.03	1.03	26.8	28.7	-999.25	40853
1544	1543.98	36.7	6.1	1.4	1	2.5	233	1139	0	2254	1.03	1.03	26.9	28.7	-999.25	41270
1545	1544.98	58.7	2	1.5	0.8	2.4	234	1113	0	2071	1.03	1.03	26.7	28.7	-999.25	41583
1546	1545.98	140.5	5.7	1.7	1.6	2.7	235	1120	0	2106	1.03	1.03	26.7	28.7	-999.25	41689
1547	1546.98	154	5.4	1.7	1.4	2.7	236	1125	0	2024	1.03	1.03	26.8	28.7	-999.25	41783
